revenue,rating
752600867.0,6.38
839030630.0,8.369
954305868.0,7.744
592461732.0,7.6
494879471.0,7.8
294804195.0,8.2
359126022.0,6.5
623933331.0,6.8
271430189.0,6.394
844281.0,6.416
543284256.0,7.2
1067316101.0,7.8
698491347.0,6.204
1025467110.0,6.6
0.0,5.471
282548.0,7.517
224920315.0,7.368
0.0,7.7
226497209.0,6.21
154026136.0,7.2
127200000.0,6.3
321885765.0,6.999
415686217.0,6.4
274470394.0,6.248
493214993.0,5.9
329398046.0,7.7
96188903.0,7.122
400062763.0,6.5
6703873.0,7.9
52800000.0,6.27
319713881.0,4.6
170432927.0,6.3
63027681.0,7.811
336365676.0,6.3
51691156.0,7.491
67900000.0,5.9
43059790.0,7.7
572809.0,6.5
35700000.0,7.1
199006387.0,6.7
11000000.0,7.3
34604339.0,6.2
293329073.0,6.4
6788659.0,8.1
0.0,5.0
4324817.0,8.016
102800000.0,7.0
93251121.0,6.3
83188165.0,5.4
0.0,6.7
157107755.0,6.8
140700000.0,5.9
0.0,6.7
177238796.0,6.397
204594016.0,6.241
0.0,6.2
42345360.0,8.0
16537336.0,7.1
12966357.0,7.794
0.0,5.8
15440333.0,6.9
76196538.0,6.2
321669741.0,6.4
149660003.0,7.663
32686500.0,6.9
215300000.0,6.117
49800000.0,6.5
3065860.0,6.0
136151680.0,5.989
261989769.0,6.2
5224938.0,7.379
0.0,5.9
69400000.0,5.7
211800000.0,6.382
0.0,2.0
115664037.0,5.5
80205382.0,6.229
0.0,6.314
414211549.0,7.7
56000000.0,7.1
75026327.0,6.8
167805466.0,6.6
0.0,7.2
290700000.0,6.1
0.0,6.677
23081726.0,6.3
177512032.0,5.8
278731369.0,6.183
159291809.0,6.8
252300000.0,7.3
67448651.0,7.1
82148538.0,7.002
64780213.0,6.0
80547866.0,4.3
66166000.0,5.9
2340363.0,6.0
0.0,5.8
3400000.0,6.154
194243.0,6.1
0.0,7.4
16441438.0,7.2
112462508.0,5.5
140073390.0,6.8
67900000.0,6.0
0.0,6.8
24200000.0,7.0
45491656.0,6.3
0.0,6.1
19152480.0,6.6
0.0,6.0
0.0,5.5
48200000.0,6.965
66984887.0,5.013
0.0,6.117
13657649.0,6.1
43042835.0,6.0
0.0,6.965
4159678.0,6.7
0.0,5.3
51417188.0,6.3
9918093.0,6.9
310650585.0,5.645
136300000.0,5.855
60300000.0,6.8
24145613.0,6.8
4160000.0,6.0
0.0,5.0
416675.0,6.6
36993168.0,5.775
129190869.0,7.4
7000000.0,7.0
8749681.0,7.6
54956140.0,6.279
6890432.0,6.231
89500000.0,7.2
0.0,4.881
49050886.0,5.8
134748021.0,6.1
10539000.0,4.9
20967660.0,7.518
0.0,6.1
216500000.0,5.9
237382724.0,5.203
81126522.0,6.3
0.0,6.6
23580000.0,6.3
0.0,6.4
114977104.0,6.8
6629178.0,7.735
105734416.0,6.9
0.0,6.5
33885979.0,5.78
45203103.0,7.575
3205829.0,7.0
0.0,7.0
