country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
Japan,2014.0,ja,0.0,5.0,1.0,1.0,Horror,September,26.0,0.0213,0.0674,0.0045,47.0
France,2014.0,fr,0.0,5.0,1.0,1.0,Drama,August,27.0,0.031,0.0636,0.004,2.0
India,2014.0,te,0.0,5.0,4.0,1.0,Comedy,May,23.0,0.025,0.0661,0.0044,4.0
France,2014.0,fr,10916704.0,5.0,1.0,2.0,Comedy,February,19.0,0.029,0.0645,0.0042,19.0
United Kingdom,2014.0,en,0.0,5.0,4.0,1.0,Drama,April,30.0,0.0278,0.065,0.0042,57.0
United States of America,2014.0,en,0.0,5.0,1.0,2.0,Documentary,January,30.0,0.0333,0.0624,0.0039,32.0
Canada,2014.0,en,0.0,5.0,3.0,2.0,Comedy,September,11.0,0.0283,0.0648,0.0042,14.0
United States of America,2014.0,en,0.0,5.0,3.0,1.0,Science Fiction,July,22.0,0.0306,0.0637,0.0041,18.0
"United Kingdom, United States of America",2014.0,en,0.0,5.0,2.0,1.0,Animation,September,1.0,0.0206,0.0676,0.0046,48.0
United States of America,2014.0,en,0.0,5.0,1.0,1.0,Horror,April,18.0,0.0202,0.0678,0.0046,35.0
other,2014.0,en,0.0,5.0,2.0,1.0,TV Movie,February,1.0,0.0175,0.0685,0.0047,8.0
United States of America,2014.0,en,813505.0,5.0,1.0,1.0,Documentary,December,12.0,0.0338,0.0621,0.0039,33.0
United Kingdom,2014.0,en,0.0,5.0,1.0,1.0,Crime,December,12.0,0.0206,0.0676,0.0046,53.0
"Bulgaria, Italy, Japan",2014.0,ja,0.0,5.0,3.0,1.0,Comedy,April,26.0,0.0302,0.0639,0.0041,22.0
United States of America,2014.0,en,15000.0,4.0,2.0,2.0,Romance,August,26.0,0.018,0.0684,0.0047,47.0
other,2014.0,ko,0.0,4.0,1.0,1.0,Romance,November,1.0,0.0241,0.0665,0.0044,8.0
United States of America,2014.0,en,1500000.0,5.0,1.0,1.0,Thriller,January,9.0,0.0207,0.0676,0.0046,54.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Horror,October,10.0,0.0254,0.066,0.0044,32.0
United States of America,2014.0,en,0.0,1.0,2.0,2.0,Documentary,October,26.0,0.0227,0.067,0.0045,5.0
United States of America,2014.0,en,0.0,5.0,3.0,1.0,Drama,December,28.0,0.0224,0.0671,0.0045,47.0
"China, France",2014.0,zh,0.0,5.0,1.0,1.0,Drama,February,17.0,0.0207,0.0676,0.0046,6.0
India,2014.0,ta,8000000.0,5.0,1.0,1.0,Action,January,10.0,0.0298,0.0641,0.0041,51.0
United States of America,2014.0,en,0.0,5.0,1.0,1.0,Horror,March,1.0,0.0221,0.0672,0.0045,54.0
France,2014.0,fr,5300000.0,5.0,2.0,1.0,Comedy,August,23.0,0.0221,0.0672,0.0045,11.0
Ireland,2014.0,en,0.0,4.0,1.0,1.0,Horror,April,14.0,0.0348,0.0615,0.0038,51.0
United States of America,2014.0,en,0.0,1.0,1.0,1.0,Comedy,December,5.0,0.0211,0.0675,0.0046,19.0
India,2014.0,hi,4200000.0,5.0,2.0,1.0,Romance,May,23.0,0.0313,0.0634,0.004,2.0
United States of America,2014.0,en,0.0,2.0,4.0,1.0,Action,April,19.0,0.0268,0.0654,0.0043,32.0
Italy,2014.0,it,0.0,5.0,1.0,4.0,Comedy,December,11.0,0.0249,0.0662,0.0044,18.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Horror,April,18.0,0.0238,0.0666,0.0044,27.0
Germany,2014.0,de,0.0,5.0,2.0,1.0,Adventure,December,25.0,0.0168,0.0687,0.0047,14.0
South Korea,2014.0,ko,0.0,5.0,1.0,1.0,Drama,November,13.0,0.0194,0.068,0.0046,15.0
other,2014.0,en,0.0,5.0,6.0,2.0,Adventure,October,3.0,0.0269,0.0654,0.0043,35.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Adventure,December,9.0,0.0259,0.0658,0.0043,5.0
France,2014.0,fr,0.0,5.0,1.0,1.0,Drama,December,3.0,0.0279,0.065,0.0042,24.0
"Germany, Israel, France",2014.0,he,0.0,5.0,1.0,2.0,Drama,June,25.0,0.0228,0.0669,0.0045,28.0
other,2014.0,en,0.0,5.0,1.0,1.0,Documentary,October,9.0,0.0216,0.0673,0.0045,27.0
United States of America,2014.0,en,0.0,5.0,1.0,1.0,Drama,April,11.0,0.0335,0.0623,0.0039,25.0
Canada,2014.0,en,0.0,5.0,3.0,1.0,TV Movie,November,15.0,0.029,0.0645,0.0042,35.0
France,2014.0,fr,0.0,5.0,3.0,1.0,Drama,June,18.0,0.0293,0.0644,0.0041,7.0
"Canada, United States of America",2014.0,en,0.0,5.0,3.0,1.0,Comedy,December,13.0,0.0303,0.0639,0.0041,10.0
Japan,2014.0,ja,0.0,5.0,1.0,1.0,Drama,November,22.0,0.0142,0.0693,0.0048,14.0
Italy,2014.0,it,3000000.0,5.0,1.0,1.0,Comedy,January,9.0,0.0213,0.0674,0.0045,15.0
Italy,2014.0,it,0.0,5.0,1.0,1.0,Comedy,January,1.0,0.0343,0.0618,0.0038,22.0
United States of America,2014.0,en,1000000.0,5.0,2.0,1.0,Drama,January,21.0,0.0304,0.0638,0.0041,5.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Fantasy,May,13.0,0.0219,0.0672,0.0045,57.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Horror,February,26.0,0.0216,0.0673,0.0045,26.0
India,2014.0,ta,1600000.0,5.0,4.0,1.0,Music,August,1.0,0.0228,0.0669,0.0045,35.0
Austria,2014.0,de,0.0,5.0,4.0,1.0,War,March,14.0,0.031,0.0635,0.004,23.0
Germany,2014.0,de,0.0,5.0,1.0,1.0,Thriller,May,15.0,0.0265,0.0655,0.0043,50.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Thriller,August,22.0,0.0322,0.0629,0.004,22.0
United States of America,2014.0,en,0.0,5.0,3.0,1.0,Drama,May,6.0,0.0252,0.0661,0.0044,31.0
United States of America,2014.0,en,0.0,1.0,1.0,1.0,Comedy,August,29.0,0.0237,0.0666,0.0044,7.0
Canada,2014.0,en,0.0,5.0,1.0,1.0,Western,August,4.0,0.0232,0.0668,0.0045,48.0
Thailand,2014.0,th,0.0,5.0,2.0,1.0,Drama,August,7.0,0.0265,0.0655,0.0043,1.0
United States of America,2014.0,en,0.0,5.0,1.0,1.0,Drama,June,13.0,0.0221,0.0672,0.0045,35.0
"China, Hong Kong",2014.0,zh,0.0,5.0,3.0,2.0,Action,August,21.0,0.025,0.0661,0.0044,12.0
"Belgium, Netherlands",2014.0,nl,0.0,5.0,2.0,1.0,Adventure,October,29.0,0.0282,0.0649,0.0042,37.0
Germany,2014.0,de,0.0,5.0,1.0,1.0,Drama,October,9.0,0.0242,0.0664,0.0044,2.0
United Kingdom,2014.0,en,1000000.0,5.0,1.0,1.0,Comedy,June,13.0,0.0241,0.0665,0.0044,20.0
United States of America,2014.0,en,2500000.0,5.0,2.0,1.0,Thriller,October,10.0,0.0238,0.0666,0.0044,23.0
Japan,2014.0,ja,0.0,5.0,4.0,2.0,Animation,December,20.0,0.0336,0.0622,0.0039,45.0
"Hungary, Germany",2014.0,hu,0.0,5.0,1.0,1.0,Drama,February,8.0,0.0319,0.0631,0.004,27.0
United States of America,2014.0,en,0.0,5.0,1.0,1.0,Thriller,May,9.0,0.0242,0.0664,0.0044,5.0
Sweden,2014.0,sv,0.0,5.0,2.0,1.0,Drama,March,28.0,0.0257,0.0659,0.0043,27.0
United Kingdom,2014.0,en,0.0,4.0,5.0,2.0,Horror,January,8.0,0.0303,0.0639,0.0041,1.0
Canada,2014.0,en,0.0,5.0,3.0,1.0,Thriller,September,11.0,0.0242,0.0664,0.0044,42.0
Italy,2014.0,it,0.0,5.0,1.0,1.0,Comedy,December,11.0,0.0283,0.0648,0.0042,7.0
United States of America,2014.0,en,0.0,5.0,3.0,1.0,Comedy,November,29.0,0.0318,0.0632,0.004,10.0
"Mexico, Spain",2014.0,es,0.0,5.0,2.0,1.0,Horror,September,5.0,0.033,0.0625,0.0039,26.0
Italy,2014.0,it,0.0,5.0,1.0,1.0,Drama,September,5.0,0.0182,0.0683,0.0047,12.0
United States of America,2014.0,en,0.0,5.0,1.0,1.0,Horror,July,25.0,0.0211,0.0675,0.0046,31.0
Canada,2014.0,en,0.0,5.0,2.0,1.0,Comedy,November,9.0,0.0279,0.065,0.0042,24.0
United States of America,2014.0,en,0.0,5.0,3.0,1.0,Family,September,2.0,0.0213,0.0674,0.0045,51.0
Turkey,2014.0,tr,0.0,5.0,3.0,1.0,Comedy,October,2.0,0.036,0.0609,0.0037,18.0
"Mexico, South Korea",2014.0,en,10000000.0,5.0,3.0,2.0,Family,August,7.0,0.0289,0.0645,0.0042,32.0
"France, Japan",2014.0,ja,0.0,5.0,2.0,1.0,Drama,June,1.0,0.0247,0.0663,0.0044,14.0
France,2014.0,fr,0.0,5.0,2.0,1.0,Thriller,November,19.0,0.0192,0.0681,0.0046,42.0
Italy,2014.0,it,0.0,5.0,1.0,1.0,Comedy,April,24.0,0.0236,0.0666,0.0044,23.0
Netherlands,2014.0,nl,0.0,5.0,3.0,1.0,Adventure,November,19.0,0.0249,0.0662,0.0044,18.0
Brazil,2014.0,pt,0.0,5.0,1.0,1.0,Drama,January,28.0,0.021,0.0675,0.0046,36.0
France,2014.0,fr,0.0,5.0,1.0,1.0,Comedy,December,31.0,0.0291,0.0644,0.0042,6.0
United States of America,2014.0,en,0.0,5.0,1.0,2.0,Documentary,January,20.0,0.024,0.0665,0.0044,50.0
Italy,2014.0,it,0.0,5.0,1.0,1.0,Comedy,October,30.0,0.0324,0.0629,0.004,17.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,TV Movie,December,13.0,0.0223,0.0671,0.0045,51.0
other,2014.0,en,0.0,5.0,1.0,1.0,Documentary,March,8.0,0.0256,0.0659,0.0043,35.0
United Kingdom,2014.0,en,0.0,5.0,3.0,1.0,Mystery,September,5.0,0.0263,0.0656,0.0043,31.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,TV Movie,May,31.0,0.0283,0.0648,0.0042,12.0
United Kingdom,2014.0,en,0.0,5.0,2.0,1.0,Drama,September,25.0,0.0278,0.065,0.0042,48.0
"Denmark, France",2014.0,da,0.0,5.0,1.0,1.0,Drama,September,10.0,0.027,0.0653,0.0043,13.0
South Korea,2014.0,ko,0.0,5.0,2.0,1.0,Drama,January,22.0,0.0203,0.0677,0.0046,31.0
United States of America,2014.0,en,0.0,5.0,2.0,1.0,Comedy,February,7.0,0.0175,0.0685,0.0047,21.0
United States of America,2014.0,en,0.0,5.0,3.0,1.0,Comedy,July,1.0,0.026,0.0658,0.0043,7.0
South Korea,2014.0,ko,0.0,5.0,1.0,1.0,Drama,September,3.0,0.0225,0.0671,0.0045,6.0
Italy,2014.0,it,0.0,5.0,2.0,1.0,Romance,February,27.0,0.0337,0.0621,0.0039,34.0
United States of America,2015.0,en,40000000.0,5.0,3.0,1.0,Drama,February,11.0,0.023,0.0669,0.0045,5.0
United States of America,2015.0,en,150000000.0,5.0,4.0,1.0,Action,June,6.0,0.0206,0.0676,0.0046,41.0
United States of America,2015.0,en,175000000.0,5.0,5.0,1.0,Animation,June,17.0,0.0232,0.0668,0.0045,10.0
"United Kingdom, United States of America",2015.0,en,95000000.0,5.0,4.0,1.0,Romance,March,6.0,0.028,0.0649,0.0042,32.0
"Australia, United States of America",2015.0,en,150000000.0,5.0,3.0,1.0,Action,May,13.0,0.0216,0.0673,0.0045,54.0
South Korea,2015.0,ko,0.0,5.0,1.0,1.0,Drama,August,20.0,0.028,0.0649,0.0042,46.0
United States of America,2015.0,en,365000000.0,5.0,3.0,1.0,Action,April,22.0,0.0262,0.0657,0.0043,10.0
United States of America,2015.0,en,68000000.0,5.0,2.0,1.0,Comedy,June,25.0,0.0204,0.0677,0.0046,47.0
United States of America,2015.0,en,190000000.0,5.0,3.0,1.0,Action,April,1.0,0.0218,0.0673,0.0045,4.0
"Canada, United States of America",2015.0,en,155000000.0,5.0,4.0,1.0,Science Fiction,June,23.0,0.0195,0.068,0.0046,15.0
United States of America,2015.0,en,245000000.0,5.0,3.0,1.0,Adventure,December,15.0,0.0292,0.0644,0.0041,25.0
South Korea,2015.0,ko,0.0,5.0,2.0,1.0,Romance,August,6.0,0.0184,0.0683,0.0047,44.0
"Mexico, United States of America",2015.0,en,30000000.0,5.0,3.0,1.0,Action,September,17.0,0.0255,0.066,0.0044,18.0
"Canada, United States of America, Australia",2015.0,en,110000000.0,5.0,3.0,1.0,Action,May,27.0,0.0223,0.0671,0.0045,6.0
Japan,2015.0,ja,5000000.0,5.0,3.0,1.0,Action,April,18.0,0.0231,0.0668,0.0045,40.0
United States of America,2015.0,en,15000000.0,5.0,2.0,1.0,Comedy,October,23.0,0.0315,0.0633,0.004,5.0
"Canada, Hong Kong, Taiwan, United States of America",2015.0,en,135000000.0,5.0,3.0,1.0,Western,December,25.0,0.026,0.0657,0.0043,33.0
United States of America,2015.0,en,61000000.0,5.0,4.0,1.0,Science Fiction,September,9.0,0.0281,0.0649,0.0042,27.0
"United Kingdom, United States of America",2015.0,en,81000000.0,5.0,4.0,1.0,Crime,January,24.0,0.0283,0.0648,0.0042,46.0
"China, France, India, United States of America",2015.0,en,88000000.0,5.0,3.0,1.0,Action,July,16.0,0.0318,0.0631,0.004,15.0
United States of America,2015.0,en,150000000.0,5.0,2.0,1.0,Action,July,23.0,0.0249,0.0662,0.0044,29.0
"Canada, United States of America",2015.0,en,110000000.0,5.0,3.0,1.0,Action,March,18.0,0.0247,0.0662,0.0044,53.0
United States of America,2015.0,en,49000000.0,5.0,3.0,1.0,Crime,March,4.0,0.0307,0.0637,0.0041,27.0
United States of America,2015.0,en,175000000.0,5.0,3.0,1.0,Adventure,November,14.0,0.0282,0.0649,0.0042,26.0
United States of America,2015.0,en,25000000.0,5.0,3.0,1.0,Romance,April,16.0,0.0289,0.0645,0.0042,27.0
United States of America,2015.0,en,37000000.0,5.0,2.0,1.0,Action,November,25.0,0.0207,0.0676,0.0046,54.0
Japan,2015.0,ja,0.0,5.0,3.0,1.0,Horror,August,1.0,0.0221,0.0672,0.0045,3.0
"Germany, United States of America",2015.0,en,160000000.0,5.0,3.0,1.0,Action,November,18.0,0.0301,0.064,0.0041,36.0
Japan,2015.0,ja,0.0,5.0,3.0,1.0,Horror,September,1.0,0.0217,0.0673,0.0045,14.0
United States of America,2015.0,en,108000000.0,5.0,3.0,1.0,Drama,September,30.0,0.0267,0.0655,0.0043,38.0
United States of America,2015.0,en,190000000.0,5.0,4.0,1.0,Adventure,May,19.0,0.0272,0.0653,0.0043,5.0
United States of America,2015.0,en,2300000.0,5.0,2.0,1.0,Horror,February,4.0,0.0276,0.0651,0.0042,7.0
"United Kingdom, United States of America",2015.0,en,245000000.0,5.0,3.0,1.0,Action,October,26.0,0.0266,0.0655,0.0043,25.0
United States of America,2015.0,en,176000000.0,5.0,3.0,2.0,Science Fiction,February,4.0,0.0312,0.0635,0.004,32.0
United States of America,2015.0,en,130000000.0,5.0,3.0,1.0,Science Fiction,July,14.0,0.0229,0.0669,0.0045,10.0
United States of America,2015.0,en,35000000.0,5.0,1.0,1.0,Comedy,September,23.0,0.0308,0.0636,0.0041,32.0
South Korea,2015.0,ko,0.0,5.0,1.0,1.0,Romance,December,3.0,0.0216,0.0673,0.0045,7.0
United States of America,2015.0,en,80000000.0,5.0,4.0,1.0,Animation,September,21.0,0.0265,0.0656,0.0043,46.0
United States of America,2015.0,en,0.0,5.0,1.0,1.0,Documentary,February,6.0,0.0217,0.0673,0.0045,38.0
South Korea,2015.0,ko,0.0,5.0,1.0,1.0,Romance,November,1.0,0.0223,0.0671,0.0045,45.0
United States of America,2015.0,en,0.0,5.0,1.0,2.0,Documentary,January,24.0,0.0171,0.0686,0.0047,8.0
United States of America,2015.0,en,20000000.0,5.0,2.0,2.0,Comedy,March,5.0,0.0293,0.0643,0.0041,2.0
"Chile, Germany, United States of America",2015.0,en,10000000.0,5.0,3.0,1.0,Horror,June,26.0,0.0177,0.0685,0.0047,51.0
"United Kingdom, United States of America",2015.0,en,15000000.0,5.0,2.0,1.0,Drama,January,21.0,0.0158,0.0689,0.0048,41.0
Japan,2015.0,ja,0.0,5.0,5.0,1.0,Adventure,August,7.0,0.0328,0.0626,0.0039,2.0
"Australia, United States of America",2015.0,en,74000000.0,5.0,5.0,2.0,Family,January,28.0,0.0272,0.0653,0.0043,39.0
United States of America,2015.0,en,0.0,5.0,4.0,1.0,Family,July,31.0,0.015,0.0691,0.0048,28.0
United States of America,2015.0,en,135000000.0,5.0,5.0,1.0,Fantasy,March,18.0,0.0298,0.0641,0.0041,21.0
United States of America,2015.0,en,35000000.0,5.0,1.0,1.0,Horror,May,20.0,0.0284,0.0648,0.0042,25.0
South Korea,2015.0,ko,0.0,5.0,3.0,1.0,Romance,March,5.0,0.028,0.0649,0.0042,35.0
"Japan, United States of America",2015.0,en,5000000.0,5.0,2.0,1.0,Horror,September,10.0,0.0247,0.0663,0.0044,8.0
United States of America,2015.0,en,30000000.0,5.0,3.0,1.0,Thriller,January,14.0,0.0262,0.0657,0.0043,20.0
United States of America,2015.0,en,12000000.0,5.0,2.0,1.0,Science Fiction,January,28.0,0.0272,0.0653,0.0043,12.0
United States of America,2015.0,en,29000000.0,5.0,2.0,1.0,Comedy,May,7.0,0.0307,0.0637,0.0041,18.0
United States of America,2015.0,en,44000000.0,5.0,3.0,1.0,Drama,December,25.0,0.0177,0.0685,0.0047,39.0
United States of America,2015.0,en,0.0,5.0,2.0,2.0,Thriller,September,15.0,0.019,0.0681,0.0046,16.0
"Canada, Hong Kong, United States of America",2015.0,en,90000000.0,5.0,4.0,1.0,Fantasy,October,21.0,0.0219,0.0672,0.0045,29.0
"United Kingdom, Germany, United States of America",2015.0,en,120000000.0,5.0,3.0,1.0,Action,August,5.0,0.0231,0.0668,0.0045,27.0
United States of America,2015.0,en,28000000.0,5.0,2.0,1.0,Comedy,December,11.0,0.0298,0.0641,0.0041,2.0
South Korea,2015.0,ko,0.0,5.0,2.0,1.0,Drama,November,12.0,0.0323,0.0629,0.004,5.0
United States of America,2015.0,en,30000000.0,5.0,2.0,1.0,Action,March,24.0,0.0241,0.0665,0.0044,5.0
United States of America,2015.0,en,31000000.0,5.0,1.0,2.0,Comedy,July,28.0,0.022,0.0672,0.0045,38.0
"Spain, United States of America",2015.0,en,100000000.0,5.0,5.0,1.0,Thriller,December,3.0,0.0282,0.0649,0.0042,2.0
Netherlands,2015.0,nl,0.0,5.0,2.0,1.0,Romance,June,4.0,0.0232,0.0668,0.0045,31.0
Spain,2015.0,es,0.0,5.0,2.0,1.0,Drama,March,15.0,0.0241,0.0665,0.0044,50.0
United States of America,2015.0,en,0.0,5.0,2.0,1.0,Horror,October,1.0,0.0216,0.0673,0.0045,10.0
United States of America,2015.0,en,30000000.0,5.0,1.0,1.0,Comedy,December,18.0,0.0331,0.0625,0.0039,35.0
"United Kingdom, United States of America",2015.0,en,35000000.0,5.0,3.0,1.0,Action,August,20.0,0.0227,0.067,0.0045,56.0
United States of America,2015.0,en,65000000.0,5.0,3.0,1.0,Action,May,6.0,0.0345,0.0617,0.0038,35.0
United States of America,2015.0,en,99000000.0,5.0,3.0,1.0,Comedy,November,5.0,0.0244,0.0664,0.0044,12.0
"France, United Kingdom, United States of America",2015.0,en,25000000.0,5.0,2.0,1.0,Crime,September,9.0,0.0282,0.0648,0.0042,5.0
"United Kingdom, United States of America",2015.0,en,28000000.0,5.0,3.0,1.0,Drama,August,11.0,0.0279,0.065,0.0042,5.0
"France, Hungary, Spain, United States of America",2015.0,en,7000000.0,5.0,6.0,1.0,Action,August,7.0,0.0232,0.0668,0.0045,8.0
"France, Greece, Ireland, Netherlands, United Kingdom",2015.0,en,4000000.0,5.0,3.0,1.0,Comedy,October,15.0,0.0237,0.0666,0.0044,14.0
United States of America,2015.0,en,75000000.0,5.0,3.0,1.0,Comedy,August,13.0,0.0298,0.0641,0.0041,23.0
United States of America,2015.0,en,90000000.0,5.0,5.0,1.0,Family,December,17.0,0.0201,0.0678,0.0046,43.0
United States of America,2015.0,en,74000000.0,5.0,4.0,2.0,Family,June,17.0,0.0279,0.065,0.0042,48.0
"Germany, United States of America",2015.0,en,105000000.0,5.0,4.0,1.0,Action,December,3.0,0.029,0.0645,0.0042,22.0
United States of America,2015.0,en,23000000.0,5.0,1.0,1.0,Comedy,January,16.0,0.0262,0.0657,0.0043,20.0
United States of America,2015.0,en,34000000.0,5.0,2.0,1.0,Drama,April,9.0,0.0208,0.0676,0.0046,19.0
United States of America,2015.0,en,50000000.0,5.0,3.0,1.0,Action,March,11.0,0.0266,0.0655,0.0043,9.0
"France, Italy, Canada",2015.0,en,64000000.0,5.0,4.0,1.0,Adventure,July,29.0,0.0277,0.065,0.0042,36.0
United States of America,2015.0,en,58000000.0,5.0,3.0,1.0,Adventure,August,5.0,0.0312,0.0635,0.004,14.0
United States of America,2015.0,en,70000000.0,5.0,3.0,1.0,Crime,January,13.0,0.0221,0.0672,0.0045,54.0
United States of America,2015.0,en,50000000.0,5.0,2.0,1.0,Crime,March,15.0,0.0328,0.0626,0.0039,22.0
"Iceland, United Kingdom, United States of America",2015.0,en,55000000.0,5.0,3.0,1.0,Adventure,September,10.0,0.0299,0.0641,0.0041,23.0
India,2015.0,te,25130430.0,5.0,4.0,1.0,Action,July,10.0,0.0232,0.0668,0.0045,10.0
"United Kingdom, United States of America",2015.0,en,11800000.0,5.0,2.0,1.0,Romance,November,20.0,0.0223,0.0671,0.0045,26.0
South Korea,2015.0,ko,0.0,5.0,2.0,1.0,Comedy,December,1.0,0.0236,0.0667,0.0044,2.0
"China, Hong Kong",2015.0,cn,0.0,5.0,4.0,1.0,Action,June,18.0,0.0227,0.067,0.0045,54.0
United States of America,2015.0,en,55000000.0,5.0,4.0,1.0,Horror,October,13.0,0.0241,0.0665,0.0044,29.0
"Canada, United States of America",2015.0,en,10000000.0,5.0,2.0,1.0,Horror,May,28.0,0.0216,0.0673,0.0045,54.0
United States of America,2015.0,en,26000000.0,5.0,4.0,1.0,Science Fiction,July,10.0,0.0205,0.0677,0.0046,13.0
South Korea,2015.0,ko,0.0,5.0,2.0,1.0,Drama,September,27.0,0.0317,0.0632,0.004,26.0
Japan,2015.0,ja,0.0,5.0,5.0,1.0,Family,July,18.0,0.0287,0.0646,0.0042,34.0
United States of America,2015.0,en,4000000.0,5.0,1.0,1.0,Thriller,January,23.0,0.0245,0.0663,0.0044,10.0
South Korea,2015.0,ko,0.0,5.0,1.0,1.0,Romance,April,2.0,0.0249,0.0662,0.0044,14.0
"Belgium, China, France",2015.0,en,25000000.0,5.0,3.0,1.0,Action,September,2.0,0.0283,0.0648,0.0042,37.0
United States of America,2015.0,en,0.0,5.0,3.0,1.0,Horror,October,16.0,0.0187,0.0682,0.0046,45.0
"Netherlands, United States of America",2015.0,en,0.0,5.0,1.0,1.0,Horror,May,22.0,0.0262,0.0657,0.0043,28.0
United States of America,2015.0,en,50000000.0,5.0,1.0,1.0,Comedy,December,25.0,0.0303,0.0639,0.0041,45.0
South Korea,2015.0,ko,0.0,5.0,4.0,1.0,Action,December,16.0,0.0227,0.067,0.0045,45.0
South Korea,2015.0,ko,7528230.0,5.0,2.0,1.0,Action,August,5.0,0.0263,0.0657,0.0043,33.0
United States of America,2015.0,en,35000000.0,5.0,2.0,1.0,Comedy,July,17.0,0.0326,0.0628,0.0039,18.0
United States of America,2015.0,en,20000000.0,5.0,2.0,1.0,Drama,November,6.0,0.0274,0.0652,0.0042,40.0
"India, United States of America, Germany",2015.0,en,40000000.0,5.0,2.0,1.0,Thriller,October,15.0,0.0294,0.0643,0.0041,25.0
United States of America,2015.0,en,10000000.0,5.0,4.0,1.0,Thriller,January,16.0,0.0249,0.0662,0.0044,7.0
"United Kingdom, United States of America",2015.0,en,53000000.0,5.0,3.0,1.0,Drama,September,17.0,0.0231,0.0668,0.0045,43.0
"France, United States of America",2015.0,en,1800000.0,5.0,3.0,1.0,Western,October,23.0,0.0205,0.0677,0.0046,14.0
United States of America,2015.0,en,30000000.0,5.0,2.0,1.0,Comedy,June,3.0,0.0236,0.0667,0.0044,16.0
Canada,2015.0,en,0.0,4.0,3.0,1.0,Horror,March,20.0,0.03,0.064,0.0041,16.0
United States of America,2015.0,en,38000000.0,5.0,3.0,1.0,Action,April,16.0,0.0226,0.067,0.0045,48.0
United States of America,2015.0,en,3500000.0,5.0,4.0,1.0,Science Fiction,January,13.0,0.0271,0.0653,0.0043,25.0
United States of America,2015.0,en,50100000.0,5.0,3.0,2.0,Romance,February,25.0,0.0259,0.0658,0.0043,16.0
"Canada, United States of America",2015.0,en,0.0,5.0,2.0,1.0,Thriller,August,24.0,0.0245,0.0663,0.0044,31.0
United States of America,2015.0,en,3000000.0,5.0,1.0,1.0,Drama,August,28.0,0.0289,0.0645,0.0042,13.0
"Belgium, France",2015.0,fr,3000000.0,5.0,2.0,1.0,Drama,May,25.0,0.0226,0.067,0.0045,2.0
Hong Kong,2015.0,cn,0.0,5.0,3.0,1.0,Romance,January,29.0,0.0282,0.0649,0.0042,5.0
"United States of America, Canada",2015.0,en,0.0,5.0,3.0,1.0,Action,April,14.0,0.0302,0.0639,0.0041,14.0
"Thailand, United States of America",2015.0,en,5000000.0,5.0,2.0,1.0,Thriller,August,26.0,0.0187,0.0682,0.0046,36.0
Japan,2015.0,ja,0.0,5.0,4.0,1.0,Comedy,August,26.0,0.0315,0.0633,0.004,21.0
"United Kingdom, United States of America",2015.0,en,20000000.0,5.0,4.0,1.0,Action,May,21.0,0.0234,0.0667,0.0045,3.0
United States of America,2015.0,en,35000000.0,5.0,2.0,1.0,Action,May,8.0,0.0248,0.0662,0.0044,44.0
South Korea,2015.0,ko,0.0,5.0,3.0,1.0,Drama,May,21.0,0.0192,0.0681,0.0046,42.0
United States of America,2015.0,en,15000000.0,5.0,3.0,1.0,Horror,November,26.0,0.026,0.0657,0.0043,35.0
"Belgium, United Kingdom, United States of America",2015.0,en,15000000.0,5.0,1.0,1.0,Drama,November,27.0,0.0219,0.0672,0.0045,44.0
United States of America,2015.0,en,20000000.0,5.0,1.0,1.0,Drama,October,2.0,0.0194,0.068,0.0046,47.0
United States of America,2015.0,en,13000000.0,5.0,2.0,1.0,Thriller,July,23.0,0.0225,0.0671,0.0045,25.0
Japan,2015.0,ja,0.0,5.0,4.0,1.0,Science Fiction,April,25.0,0.0194,0.068,0.0046,13.0
Canada,2015.0,en,0.0,5.0,3.0,1.0,Thriller,February,28.0,0.0332,0.0625,0.0039,2.0
Japan,2015.0,ja,0.0,5.0,6.0,1.0,Action,December,20.0,0.0345,0.0617,0.0038,46.0
"Canada, United States of America",2015.0,en,10000000.0,5.0,1.0,1.0,Horror,August,19.0,0.0307,0.0637,0.0041,24.0
South Korea,2015.0,ko,0.0,5.0,1.0,1.0,Drama,October,23.0,0.0217,0.0673,0.0045,14.0
China,2015.0,zh,10000000.0,5.0,3.0,1.0,Fantasy,July,10.0,0.0218,0.0673,0.0045,28.0
United States of America,2015.0,en,8000000.0,5.0,2.0,1.0,Drama,May,6.0,0.0226,0.067,0.0045,53.0
"Canada, Ireland, United Kingdom, United States of America",2015.0,en,11000000.0,5.0,3.0,1.0,Romance,October,20.0,0.0233,0.0667,0.0045,20.0
United States of America,2015.0,en,0.0,5.0,3.0,1.0,Action,January,9.0,0.0241,0.0665,0.0044,36.0
United States of America,2015.0,en,60000000.0,5.0,2.0,1.0,Comedy,January,21.0,0.0276,0.0651,0.0042,13.0
