country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
United States of America,2010.0,en,150000000.0,5.0,2.0,1.0,Horror,February,10.0,0.0236,0.0667,0.0044,44.0
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Animation,October,28.0,0.0236,0.0666,0.0044,41.0
"United Kingdom, United States of America",2010.0,en,110000000.0,5.0,3.0,1.0,Action,June,9.0,0.0328,0.0626,0.0039,4.0
United States of America,2010.0,en,60000000.0,5.0,2.0,1.0,Drama,August,12.0,0.0314,0.0634,0.004,20.0
other,2010.0,en,0.0,1.0,2.0,1.0,Science Fiction,April,6.0,0.0331,0.0625,0.0039,36.0
"China, India, United Arab Emirates, United States of America",2010.0,hi,12000000.0,5.0,2.0,1.0,Drama,February,10.0,0.0281,0.0649,0.0042,48.0
Japan,2010.0,ja,0.0,5.0,3.0,1.0,Adventure,July,31.0,0.0273,0.0652,0.0043,1.0
South Korea,2010.0,ko,6000000.0,5.0,2.0,1.0,Thriller,August,12.0,0.0275,0.0651,0.0042,56.0
"South Africa, Germany",2010.0,en,7000000.0,5.0,3.0,1.0,Action,November,12.0,0.0306,0.0638,0.0041,47.0
United States of America,2010.0,en,1000000.0,5.0,2.0,1.0,Drama,December,26.0,0.0255,0.066,0.0044,14.0
"United Kingdom, United States of America",2010.0,en,15000000.0,5.0,2.0,1.0,Comedy,March,19.0,0.0302,0.0639,0.0041,33.0
United States of America,2010.0,en,200000000.0,5.0,4.0,1.0,Action,May,12.0,0.0252,0.0661,0.0044,26.0
"France, Japan, United States of America",2010.0,ja,23000000.0,5.0,3.0,1.0,Fantasy,July,16.0,0.0263,0.0657,0.0043,5.0
"Ireland, United States of America",2010.0,en,19000000.0,5.0,2.0,1.0,Romance,January,8.0,0.0304,0.0638,0.0041,30.0
United States of America,2010.0,en,150000000.0,5.0,3.0,1.0,Fantasy,July,13.0,0.0287,0.0646,0.0042,26.0
United States of America,2010.0,en,20000000.0,5.0,2.0,1.0,Romance,March,11.0,0.0259,0.0658,0.0043,37.0
United States of America,2010.0,en,0.0,5.0,1.0,1.0,Thriller,February,5.0,0.029,0.0645,0.0042,38.0
United States of America,2010.0,en,20000000.0,5.0,2.0,1.0,Horror,October,22.0,0.0255,0.066,0.0044,8.0
United States of America,2010.0,en,117000000.0,5.0,2.0,1.0,Action,June,15.0,0.0271,0.0653,0.0043,5.0
"Canada, United States of America",2010.0,en,5000000.0,5.0,2.0,1.0,Comedy,January,22.0,0.0229,0.0669,0.0045,11.0
"Canada, France, Germany",2010.0,en,26000000.0,5.0,2.0,1.0,Horror,June,3.0,0.03,0.064,0.0041,57.0
"United States of America, France",2010.0,en,1800000.0,5.0,3.0,1.0,Horror,August,27.0,0.0316,0.0633,0.004,32.0
United States of America,2010.0,en,65000000.0,5.0,2.0,1.0,Comedy,November,3.0,0.0271,0.0653,0.0043,28.0
other,2010.0,en,0.0,5.0,1.0,2.0,other,May,1.0,0.0262,0.0657,0.0043,21.0
United States of America,2010.0,en,35000000.0,5.0,3.0,1.0,Horror,April,30.0,0.0285,0.0647,0.0042,49.0
United States of America,2010.0,en,32000000.0,5.0,4.0,1.0,Action,August,26.0,0.0313,0.0634,0.004,32.0
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Fantasy,October,2.0,0.0321,0.063,0.004,16.0
"United Kingdom, United States of America",2010.0,en,15000000.0,5.0,2.0,1.0,Drama,November,26.0,0.0279,0.065,0.0042,2.0
United States of America,2010.0,en,16000000.0,5.0,2.0,1.0,Drama,March,11.0,0.0288,0.0646,0.0042,18.0
United States of America,2010.0,en,8000000.0,5.0,1.0,1.0,Comedy,September,16.0,0.0286,0.0647,0.0042,20.0
