id,score,difficulty_label,difficulty_score,date,time,session_duration_sec,stage_reached,reached_boss,defeated_boss,outcome,enemies_killed,kills_by_bb,kills_by_trump,kills_by_enemy,boss_fight_duration_sec,trump_activations,b2_collected,arr_collected,halo_collected,antibombs_collected,energy_spheres_collected,ammo_pickups_collected,weapon_pickups_collected,damage_x_hits,total_lasers_fired,lives_lost
7,34275,,,2026-03-09,23:15:46,0.0,4,False,False,game_over,57,32,25,"{""Abdul-Malik al-Houthi"": 5, ""Qasem-Soleimani"": 6, ""Muhammad Al-Amri"": 5, ""Khaled-Mashal"": 8, ""Recep-Erdoğan"": 6, ""Naeem-Qassem"": 2, ""Ismail-Haniyeh"": 7, ""Mohammad-Ali-Jafari"": 1, ""Nasrallah"": 5, ""Mohammed-Deif"": 4, ""Marwan-Isa"": 3, ""Yahya-Sinwar"": 2, ""Fouad-Shukr"": 3}",0.0,4,2,2,4,4,3,0,0,0,78,17
2,30361,,,2026-03-09,01:00:10,0.0,3,False,False,game_over,52,29,23,"{""Nasrallah"": 10, ""Mohammed-Deif"": 7, ""Qasem-Soleimani"": 7, ""Recep-Erdoğan"": 6, ""Yahya-Sinwar"": 5, ""Naeem-Qassem"": 8, ""Khaled-Mashal"": 4, ""Fouad-Shukr"": 4, ""Ismail-Haniyeh"": 1}",0.0,6,4,2,2,3,5,0,0,0,71,19
26,25745,,,2026-03-12,00:29:55,0.0,3,False,False,game_over,34,27,7,"{""Mohammad-Ali-Jafari"": 5, ""Yahya-Sinwar"": 4, ""Naeem-Qassem"": 1, ""Mohammed-Deif"": 1, ""Abdul-Malik al-Houthi"": 6, ""Ismail-Haniyeh"": 3, ""Muhammad Al-Amri"": 4, ""Recep-Erdoğan"": 2, ""Khaled-Mashal"": 1, ""Nasrallah"": 1, ""Qasem-Soleimani"": 2, ""Fouad-Shukr"": 2, ""Marwan-Isa"": 2}",0.0,5,3,4,3,4,7,0,0,0,121,24
24,21203,,,2026-03-12,00:15:35,0.0,3,False,False,game_over,33,15,18,"{""Fouad-Shukr"": 3, ""Khaled-Mashal"": 4, ""Naeem-Qassem"": 3, ""Mohammed-Deif"": 1, ""Marwan-Isa"": 2, ""Muhammad Al-Amri"": 5, ""Abdul-Malik al-Houthi"": 3, ""Recep-Erdoğan"": 2, ""Nasrallah"": 1, ""Yahya-Sinwar"": 3, ""Ismail-Haniyeh"": 2, ""Qasem-Soleimani"": 2, ""Mohammad-Ali-Jafari"": 2}",0.0,7,3,4,1,5,5,0,0,0,98,17
11,16106,,,2026-03-10,21:02:35,0.0,2,False,False,game_over,39,18,21,"{""Abdul-Malik al-Houthi"": 2, ""Khaled-Mashal"": 5, ""Yahya-Sinwar"": 3, ""Recep-Erdoğan"": 5, ""Mohammed-Deif"": 3, ""Naeem-Qassem"": 5, ""Nasrallah"": 3, ""Mohammad-Ali-Jafari"": 6, ""Ismail-Haniyeh"": 2, ""Marwan-Isa"": 1, ""Muhammad Al-Amri"": 2, ""Qasem-Soleimani"": 1, ""Fouad-Shukr"": 1}",0.0,3,0,1,0,3,2,0,0,0,68,14
25,15219,,,2026-03-12,00:27:46,0.0,2,False,False,game_over,23,21,2,"{""Qasem-Soleimani"": 1, ""Muhammad Al-Amri"": 3, ""Recep-Erdoğan"": 3, ""Naeem-Qassem"": 1, ""Nasrallah"": 3, ""Yahya-Sinwar"": 3, ""Mohammed-Deif"": 1, ""Khaled-Mashal"": 4, ""Fouad-Shukr"": 1, ""Mohammad-Ali-Jafari"": 1, ""Ismail-Haniyeh"": 1, ""Marwan-Isa"": 1}",0.0,1,1,1,1,1,2,0,0,0,59,15
9,14349,,,2026-03-09,23:16:49,0.0,2,False,False,game_over,28,4,24,"{""Mohammed-Deif"": 3, ""Ismail-Haniyeh"": 4, ""Mohammad-Ali-Jafari"": 1, ""Muhammad Al-Amri"": 1, ""Naeem-Qassem"": 2, ""Fouad-Shukr"": 3, ""Marwan-Isa"": 3, ""Abdul-Malik al-Houthi"": 1, ""Nasrallah"": 3, ""Qasem-Soleimani"": 1, ""Yahya-Sinwar"": 1, ""Khaled-Mashal"": 3, ""Recep-Erdoğan"": 2}",0.0,3,2,2,0,2,1,0,0,0,52,11
1,12796,,,2026-03-09,00:54:33,0.0,2,False,False,game_over,23,13,10,"{""Ismail-Haniyeh"": 4, ""Naeem-Qassem"": 2, ""Mohammed-Deif"": 2, ""Qasem-Soleimani"": 3, ""Khaled-Mashal"": 2, ""Recep-Erdoğan"": 3, ""Nasrallah"": 4, ""Yahya-Sinwar"": 1, ""Fouad-Shukr"": 2}",0.0,2,1,2,1,2,2,0,0,0,52,12
8,5734,,,2026-03-09,23:16:08,0.0,1,False,False,game_over,20,4,16,"{""Mohammed-Deif"": 2, ""Naeem-Qassem"": 2, ""Nasrallah"": 2, ""Ismail-Haniyeh"": 4, ""Mohammad-Ali-Jafari"": 1, ""Yahya-Sinwar"": 2, ""Qasem-Soleimani"": 4, ""Fouad-Shukr"": 1, ""Abdul-Malik al-Houthi"": 1, ""Recep-Erdoğan"": 1}",0.0,3,1,1,1,3,0,0,0,0,34,8
29,4426,,,2026-03-12,20:35:13,0.0,1,False,False,game_over,13,11,2,"{""Abdul-Malik al-Houthi"": 1, ""Yahya-Sinwar"": 1, ""Mohammed-Deif"": 4, ""Muhammad Al-Amri"": 1, ""Fouad-Shukr"": 1, ""Marwan-Isa"": 1, ""Khaled-Mashal"": 1, ""Recep-Erdoğan"": 1, ""Qasem-Soleimani"": 2}",0.0,1,0,0,0,0,1,0,0,0,38,11
30,3775,,,2026-03-12,21:13:47,0.0,1,False,False,game_over,13,13,0,"{""Recep-Erdoğan"": 1, ""Marwan-Isa"": 2, ""Ismail-Haniyeh"": 1, ""Fouad-Shukr"": 1, ""Nasrallah"": 1, ""Muhammad Al-Amri"": 3, ""Khaled-Mashal"": 1, ""Qasem-Soleimani"": 2, ""Mohammad-Ali-Jafari"": 1}",0.0,0,0,0,0,0,1,0,0,0,24,11
18,3045,,,2026-03-11,23:52:07,0.0,1,False,False,game_over,12,6,6,"{""Muhammad Al-Amri"": 2, ""Khaled-Mashal"": 2, ""Naeem-Qassem"": 3, ""Mohammed-Deif"": 2, ""Qasem-Soleimani"": 1, ""Nasrallah"": 2}",0.0,1,0,0,0,0,1,0,0,0,19,11
20,3015,,,2026-03-11,23:58:32,0.0,1,False,False,game_over,12,6,6,"{""Qasem-Soleimani"": 1, ""Recep-Erdoğan"": 1, ""Khaled-Mashal"": 3, ""Ismail-Haniyeh"": 2, ""Abdul-Malik al-Houthi"": 1, ""Mohammed-Deif"": 2, ""Fouad-Shukr"": 1, ""Mohammad-Ali-Jafari"": 1}",0.0,1,1,0,0,2,1,0,0,0,21,11
12,2503,,,2026-03-10,23:22:22,0.0,1,False,False,game_over,7,7,0,"{""Naeem-Qassem"": 1, ""Mohammed-Deif"": 1, ""Qasem-Soleimani"": 1, ""Fouad-Shukr"": 1, ""Yahya-Sinwar"": 2, ""Muhammad Al-Amri"": 1}",0.0,0,0,0,0,0,0,0,0,0,9,8
21,1639,,,2026-03-12,00:00:18,0.0,1,False,False,game_over,7,7,0,"{""Abdul-Malik al-Houthi"": 3, ""Marwan-Isa"": 1, ""Yahya-Sinwar"": 1, ""Mohammed-Deif"": 1, ""Khaled-Mashal"": 1}",0.0,1,1,1,1,1,1,0,0,0,19,11
4,931,,,2026-03-09,18:36:21,0.0,1,False,False,game_over,1,1,0,"{""Nasrallah"": 1}",0.0,0,0,0,0,0,0,0,0,0,3,8
19,845,,,2026-03-11,23:55:37,0.0,1,False,False,game_over,5,5,0,"{""Yahya-Sinwar"": 2, ""Marwan-Isa"": 1, ""Ismail-Haniyeh"": 1, ""Qasem-Soleimani"": 1}",0.0,0,0,0,0,0,2,0,0,0,5,14
