Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
GHO,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",,,
GHO,SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",,,
GHO,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",,,
GHO,SA_0000001747,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,,
GHO,SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",,,
GHO,SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",,,
GHO,SA_0000001821,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,,
GHO,SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",,,
