Symbol,Description (EN),Name (HE),Type (HE),Exchange,Current,High,Low,Open,Previous Close,Timestamp,Previous Close (from last fetch),Change,Change %,usd-ils
AMAT,AMAT,אפלייד מטיריאלס,מניה,NASDAQ NMS - GLOBAL MARKET,200.87,204.10,198.80,201.23,200.52,23/09/2025 23:00:00,200.52,0.35,0.17,3.34508462
HON,HON,הנל,מניה,NASDAQ NMS - GLOBAL MARKET,209.31,211.02,208.81,209.44,209.00,23/09/2025 23:00:00,209,0.31,0.15,3.34508462
JPM,JPM,ג'יי פי מורגן,מניה,"NEW YORK STOCK EXCHANGE, INC.",312.74,316.31,310.58,311.82,312.44,23/09/2025 23:00:00,312.44,0.3,0.1,3.34508462
GS,GS,גולדמן סאקס,מניה,"NEW YORK STOCK EXCHANGE, INC.",806.32,825.25,802.00,807.10,805.56,23/09/2025 23:00:00,805.56,0.76,0.09,3.34508462
MCD,MCD,מקדונלד'ס,מניה,"NEW YORK STOCK EXCHANGE, INC.",303.19,304.45,300.32,303.74,302.99,23/09/2025 23:00:00,302.99,0.2,0.07,3.34508462
VIPS,VIPS,ויפשופ,מניה,"NEW YORK STOCK EXCHANGE, INC.",18.25,18.49,18.04,18.19,18.24,23/09/2025 23:00:00,18.24,0.01,0.05,3.34508462
COST,COST,קוסטקו,מניה,NASDAQ NMS - GLOBAL MARKET,943.6,944.99,933.50,942.76,943.26,23/09/2025 23:00:00,943.26,0.34,0.04,3.34508462
AVGO,AVGO,ברודקום,מניה,NASDAQ NMS - GLOBAL MARKET,338.94,345.22,337.02,340.24,338.79,23/09/2025 23:00:00,338.79,0.15,0.04,3.34508462
CHKP,CHKP,צ'ק פוינט,מניה,NASDAQ NMS - GLOBAL MARKET,201.1,207.64,200.08,206.26,201.09,23/09/2025 23:00:00,201.09,0.01,0,3.34508462
IGLD,IGLD,אינטל גולד,מניה,Unknown,23.56,23.68,23.50,23.66,23.56,23/09/2025 23:00:00,23.56,0,0,3.34508462
OPK,OPK,אופקו,מניה,NASDAQ NMS - GLOBAL MARKET,1.44,1.48,1.41,1.44,1.44,23/09/2025 23:00:00,1.44,0,0,3.34508462
IDXG,IDXG,אינדקסג'ן,מניה,OTC MARKETS,0.8203,0.82,0.82,0.82,0.82,22/09/2025 03:00:00,0.8203,0,0,3.34508462
KALY,KALY,קליי,מניה,OTC MARKETS,0.000001,0.00,0.00,0.00,0.00,29/08/2025 03:00:00,0.000001,0,0,3.34508462
SQ,SQ,סקוור,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
ISCA,ISCA,איסקאר,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
CLIS,CLIS,קליס,מניה,OTC MARKETS,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
CTIC,CTIC,סל טק,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
TARO,TARO,טארו,מניה,"NEW YORK STOCK EXCHANGE, INC.",0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
TLRA,TLRA,טלרד,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
BURG,BURG,בורג,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
CBAY,CBAY,קומביי,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
EMKR,EMKR,אמרקור,מניה,NASDAQ NMS - GLOBAL MARKET,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
HOMI,HOMI,הומי,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
INAP,INAP,אינטרנפ,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
INXN,INXN,אינקסן,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
ISDR,ISDR,איסדר,מניה,Unknown,0,0,0,0,0,01/01/1970 02:00:00,0,0,0,3.34508462
