Symbol,Description (EN),Name (HE),Type (HE),Exchange,Current,High,Low,Open,Previous Close,Timestamp,Previous Close (from last fetch),Change,Change %,usd-ils
MAXN,MAXN,Maxeon Solar Technologies,מניה,NASDAQ NMS - GLOBAL MARKET,3.76,3.94,3.70,3.85,3.85,23/09/2025 23:00:00,3.85,-0.09,-2.34,3.34508462
LYFT,LYFT,ליפט,מניה,NASDAQ NMS - GLOBAL MARKET,22.08,23.11,22.05,22.64,22.63,23/09/2025 23:00:00,22.63,-0.55,-2.43,3.34508462
MA,MA,מאסטרקארד,מניה,"NEW YORK STOCK EXCHANGE, INC.",569.97,586.86,568.25,585.45,584.49,23/09/2025 23:00:00,584.49,-14.52,-2.48,3.34508462
BZ,BZ,Kanzhun,מניה,NASDAQ NMS - GLOBAL MARKET,23.17,23.75,23.06,23.75,23.76,23/09/2025 23:00:00,23.76,-0.59,-2.48,3.34508462
ESTC,ESTC,אלסטיק,מניה,"NEW YORK STOCK EXCHANGE, INC.",86.81,89.67,85.00,89.15,89.06,23/09/2025 23:00:00,89.06,-2.25,-2.53,3.34508462
LTRX,LTRX,לטרקס,מניה,NASDAQ NMS - GLOBAL MARKET,4.79,5.00,4.73,4.96,4.92,23/09/2025 23:00:00,4.92,-0.13,-2.64,3.34508462
SPOT,SPOT,ספוטיפיי,מניה,"NEW YORK STOCK EXCHANGE, INC.",718.94,740.00,716.85,736.14,738.53,23/09/2025 23:00:00,738.53,-19.59,-2.65,3.34508462
NVDA,NVDA,נבידיה,מניה,NASDAQ NMS - GLOBAL MARKET,178.43,182.42,176.21,181.97,183.61,23/09/2025 23:00:00,183.61,-5.18,-2.82,3.34508462
CSIQ,CSIQ,קנדיין סולר,מניה,NASDAQ NMS - GLOBAL MARKET,12.37,13.20,12.26,12.89,12.73,23/09/2025 23:00:00,12.73,-0.36,-2.83,3.34508462
JD,JD,JD.com,מניה,HONG KONG EXCHANGES AND CLEARING LTD,32.94,34.15,32.92,33.41,33.93,23/09/2025 23:00:00,33.93,-0.99,-2.92,3.34508462
MBLY,MBLY,מובילאיי,מניה,NASDAQ NMS - GLOBAL MARKET,14.19,14.85,14.14,14.68,14.62,23/09/2025 23:00:00,14.62,-0.43,-2.94,3.34508462
CNRG,CNRG,SPDR Kensho Clean Power ETF,מניה,Unknown,81.6482,84.67,81.59,84.49,84.20,23/09/2025 23:00:00,84.1986,-2.5504,-3.03,3.34508462
AMZN,AMZN,אמזון,מניה,NASDAQ NMS - GLOBAL MARKET,220.71,227.86,220.07,227.83,227.63,23/09/2025 23:00:00,227.63,-6.92,-3.04,3.34508462
BEKE,BEKE,קהה,מניה,HONG KONG EXCHANGES AND CLEARING LTD,18.73,19.29,18.73,19.22,19.34,23/09/2025 23:00:00,19.34,-0.61,-3.15,3.34508462
CRNT,CRNT,קורנט,מניה,NASDAQ NMS - GLOBAL MARKET,2.39,2.48,2.37,2.48,2.47,23/09/2025 23:00:00,2.47,-0.08,-3.24,3.34508462
CELZ,CELZ,קרלז,מניה,NASDAQ NMS - GLOBAL MARKET,3.365,3.51,3.31,3.45,3.48,23/09/2025 22:53:57,3.48,-0.115,-3.3,3.34508462
BLRX,BLRX,ביוליין,מניה,TEL AVIV STOCK EXCHANGE,3.74,3.89,3.72,3.89,3.87,23/09/2025 23:00:00,3.87,-0.13,-3.36,3.34508462
OPCH,OPCH,אופצ'ו,מניה,NASDAQ NMS - GLOBAL MARKET,27.7,28.91,27.61,28.74,28.67,23/09/2025 23:00:00,28.67,-0.97,-3.38,3.34508462
WIX,WIX,וויקס,מניה,NASDAQ NMS - GLOBAL MARKET,177.93,185.99,175.79,185.99,184.24,23/09/2025 23:00:00,184.24,-6.31,-3.42,3.34508462
TAN,TAN,Invesco Solar ETF,מניה,Unknown,42.37,43.98,42.22,43.98,43.89,23/09/2025 23:00:00,43.89,-1.52,-3.46,3.34508462
MARA,MARA,מראתון דיגיטל,מניה,NASDAQ NMS - GLOBAL MARKET,17.71,19.17,17.63,18.64,18.35,23/09/2025 23:00:00,18.35,-0.64,-3.49,3.34508462
COIN,COIN,קוינבייס,מניה,NASDAQ NMS - GLOBAL MARKET,320.07,335.68,317.70,333.38,331.95,23/09/2025 23:00:00,331.95,-11.88,-3.58,3.34508462
PTON,PTON,פלטון,מניה,NASDAQ NMS - GLOBAL MARKET,8.03,8.50,7.97,8.34,8.33,23/09/2025 23:00:00,8.33,-0.3,-3.6,3.34508462
TMDX,TMDX,טמדקס,מניה,NASDAQ NMS - GLOBAL MARKET,120.53,128.74,119.81,127.01,125.15,23/09/2025 23:00:00,125.15,-4.62,-3.69,3.34508462
REKR,REKR,רקרוט,מניה,NASDAQ NMS - GLOBAL MARKET,1.82,1.98,1.80,1.92,1.89,23/09/2025 23:00:00,1.89,-0.07,-3.7,3.34508462
SRPT,SRPT,סארפטה,מניה,NASDAQ NMS - GLOBAL MARKET,17.93,19.05,17.88,18.72,18.65,23/09/2025 23:00:00,18.65,-0.72,-3.86,3.34508462
UPST,UPST,אפסטארט,מניה,NASDAQ NMS - GLOBAL MARKET,62.38,66.51,62.23,65.08,64.90,23/09/2025 23:00:00,64.9,-2.52,-3.88,3.34508462
SIMO,SIMO,סיליקון מושן,מניה,NASDAQ NMS - GLOBAL MARKET,91.35,97.70,90.00,95.22,95.06,23/09/2025 23:00:00,95.06,-3.71,-3.9,3.34508462
SE,SE,Sea Limited,מניה,"NEW YORK STOCK EXCHANGE, INC.",185.25,192.52,185.01,192.09,192.96,23/09/2025 23:00:00,192.96,-7.71,-4,3.34508462
BILI,BILI,ביליבילי,מניה,NASDAQ NMS - GLOBAL MARKET,25.77,26.33,25.71,26.03,26.85,23/09/2025 23:00:00,26.85,-1.08,-4.02,3.34508462
KLTR,KLTR,קלטורה,מניה,NASDAQ NMS - GLOBAL MARKET,1.6,1.71,1.58,1.67,1.67,23/09/2025 23:00:00,1.67,-0.07,-4.19,3.34508462
ORCL,ORCL,אורקל,מניה,"NEW YORK STOCK EXCHANGE, INC.",313.83,325.00,310.05,324.00,328.15,23/09/2025 23:00:00,328.15,-14.32,-4.36,3.34508462
SPWR,SPWR,סאן פאוור,מניה,NASDAQ NMS - GLOBAL MARKET,1.69,1.82,1.69,1.79,1.77,23/09/2025 23:00:00,1.77,-0.08,-4.52,3.34508462
PLUG,PLUG,פלאג פאוור,מניה,NASDAQ NMS - GLOBAL MARKET,2.53,3.16,2.51,2.93,2.65,23/09/2025 23:00:00,2.65,-0.12,-4.53,3.34508462
SHOP,SHOP,שופיפיי,מניה,"NEW YORK STOCK EXCHANGE, INC.",149.94,157.19,149.10,157.10,157.12,23/09/2025 23:00:00,157.12,-7.18,-4.57,3.34508462
REGN,REGN,רגנרון,מניה,NASDAQ NMS - GLOBAL MARKET,567.89,582.00,565.45,580.00,595.68,23/09/2025 23:00:00,595.68,-27.79,-4.67,3.34508462
MRKR,MRKR,מרקר,מניה,NASDAQ NMS - GLOBAL MARKET,0.8536,0.91,0.85,0.91,0.90,23/09/2025 23:00:00,0.9,-0.0464,-5.16,3.34508462
STRO,STRO,סטרו,מניה,NASDAQ NMS - GLOBAL MARKET,0.8284,0.91,0.83,0.89,0.89,23/09/2025 23:00:00,0.8901,-0.0617,-6.93,3.34508462
PULM,PULM,פולמונקס,מניה,NASDAQ NMS - GLOBAL MARKET,4.51,4.85,4.45,4.85,4.85,23/09/2025 23:00:00,4.85,-0.34,-7.01,3.34508462
BZUN,BZUN,באוזון,מניה,NASDAQ NMS - GLOBAL MARKET,4.04,4.36,4.01,4.31,4.35,23/09/2025 23:00:00,4.35,-0.31,-7.13,3.34508462
BIDU,BIDU,ביידו,מניה,NASDAQ NMS - GLOBAL MARKET,125.57,132.41,124.90,132.41,136.63,23/09/2025 23:00:00,136.63,-11.06,-8.09,3.34508462
CLSD,CLSD,קלסידה,מניה,NASDAQ NMS - GLOBAL MARKET,3.96,4.57,3.96,4.45,4.39,23/09/2025 23:00:00,4.39,-0.43,-9.79,3.34508462
TRVN,TRVN,טרוונה,מניה,OTC MARKETS,0.01,0.01,0.01,0.01,0.25,19/09/2025 03:00:00,0.25,-0.24,-96,3.34508462
SEDG,SEDG,סולאר אדג',מניה,NASDAQ NMS - GLOBAL MARKET,35.93,39.07,35.75,39.00,38.58,23/09/2025 23:00:00,38.575,-2.645,-6.86,3.34508462
NKLA,NKLA,ניקולה,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
NTRA,NTRA,נטרה ביו,מניה,NASDAQ NMS - GLOBAL MARKET,172.83,179.65,171.86,179.19,179.19,23/09/2025 23:00:00,179.19,-6.36,-3.55,3.34508462
FTXG,FTXG,First Trust Nasdaq Food & Beverage ETF,מניה,Unknown,21.6096,21.69,21.58,21.68,21.59,23/09/2025 23:00:00,21.585,0.0246,0.11,3.34508462
ICLR,ICLR,איקלר,מניה,NASDAQ NMS - GLOBAL MARKET,170.38,173.01,169.40,170.83,170.80,23/09/2025 23:00:00,170.8,-0.42,-0.25,3.34508462
TEAM,TEAM,אטלסיאן,מניה,NASDAQ NMS - GLOBAL MARKET,165.68,170.52,163.20,169.53,170.63,23/09/2025 23:00:00,170.63,-4.95,-2.9,3.34508462
JKS,JKS,ג'יינקסולר,מניה,"NEW YORK STOCK EXCHANGE, INC.",24.12,25.50,24.07,25.39,25.25,23/09/2025 23:00:00,25.25,-1.13,-4.48,3.34508462
MSCI,MSCI,MSCI,מניה,"NEW YORK STOCK EXCHANGE, INC.",568.94,570.97,565.62,566.00,568.06,23/09/2025 23:00:00,568.06,0.88,0.15,3.34508462
BEEM,BEEM,בימ גלובל,מניה,NASDAQ NMS - GLOBAL MARKET,2.62,3.06,2.62,2.99,2.92,23/09/2025 23:00:00,2.92,-0.3,-10.27,3.34508462
MRNA,MRNA,מודרנה,מניה,NASDAQ NMS - GLOBAL MARKET,25.79,26.97,25.66,26.72,26.56,23/09/2025 23:00:00,26.56,-0.77,-2.9,3.34508462
ROKU,ROKU,רוקו,מניה,NASDAQ NMS - GLOBAL MARKET,99,102.15,97.67,99.52,99.05,23/09/2025 23:00:00,99.05,-0.05,-0.05,3.34508462
BYND,BYND,ביונד מיט,מניה,NASDAQ NMS - GLOBAL MARKET,2.85,2.98,2.83,2.84,2.84,23/09/2025 23:00:00,2.84,0.01,0.35,3.34508462
SPY,SPY,SPDR S&P 500,מניה,Unknown,663.21,667.34,661.98,666.72,666.84,23/09/2025 23:00:00,666.84,-3.63,-0.54,3.34508462
ASML,ASML,ASML,מניה,NYSE EURONEXT - EURONEXT AMSTERDAM,963.51,977.48,956.00,964.41,957.80,23/09/2025 23:00:00,957.8,5.71,0.6,3.34508462
XSD,XSD,SPDR S&P Semiconductor ETF,מניה,Unknown,322.4,325.39,319.68,324.97,323.54,23/09/2025 23:00:00,323.54,-1.14,-0.35,3.34508462
WORK,WORK,סלאק,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
ABT,ABT,אבוט,מניה,"NEW YORK STOCK EXCHANGE, INC.",135.89,136.88,135.04,136.28,136.62,23/09/2025 23:00:00,136.62,-0.73,-0.53,3.34508462
ARM,ARM,ARM,מניה,NASDAQ NMS - GLOBAL MARKET,140.99,146.16,140.28,145.41,144.48,23/09/2025 23:00:00,144.48,-3.49,-2.42,3.34508462
ARKX,ARKX,ARK Space Exploration & Innovation ETF,מניה,Unknown,28.36,28.57,27.95,28.01,27.99,23/09/2025 23:00:00,27.99,0.37,1.32,3.34508462
LLY,LLY,אלי לילי,מניה,"NEW YORK STOCK EXCHANGE, INC.",746.98,753.00,743.17,750.57,754.95,23/09/2025 23:00:00,754.95,-7.97,-1.06,3.34508462
ICLN,ICLN,iShares Global Clean Energy ETF,מניה,Unknown,15.19,15.40,15.15,15.37,15.36,23/09/2025 23:00:00,15.36,-0.17,-1.11,3.34508462
ON,ON,ON סמיקונדקטור,מניה,NASDAQ NMS - GLOBAL MARKET,50.42,52.82,50.37,51.88,51.50,23/09/2025 23:00:00,51.5,-1.08,-2.1,3.34508462
NVO,NVO,נובו נורדיסק,מניה,OMX NORDIC EXCHANGE COPENHAGEN A/S,59.54,60.33,59.08,60.30,60.71,23/09/2025 23:00:00,60.71,-1.17,-1.93,3.34508462
CLSK,CLSK,קלינסיס,מניה,NASDAQ NMS - GLOBAL MARKET,13.91,15.19,13.76,14.74,13.74,23/09/2025 23:00:00,13.74,0.17,1.24,3.34508462
RUN,RUN,סאן-ראן,מניה,NASDAQ NMS - GLOBAL MARKET,16.45,17.95,16.37,17.77,17.61,23/09/2025 23:00:00,17.61,-1.16,-6.59,3.34508462
SOFI,SOFI,סופי,מניה,NASDAQ NMS - GLOBAL MARKET,29.09,30.14,28.85,29.81,29.81,23/09/2025 23:00:00,29.81,-0.72,-2.42,3.34508462
OPEN,OPEN,אופנדור,מניה,NASDAQ NMS - GLOBAL MARKET,7.09,8.10,6.91,7.96,8.38,23/09/2025 23:00:00,8.38,-1.29,-15.39,3.34508462
USB,USB,USB,מניה,"NEW YORK STOCK EXCHANGE, INC.",49.35,50.22,49.10,49.46,49.49,23/09/2025 23:00:00,49.49,-0.14,-0.28,3.34508462
SGMO,SGMO,סנגמו,מניה,NASDAQ NMS - GLOBAL MARKET,0.5273,0.56,0.53,0.56,0.55,23/09/2025 23:00:00,0.551,-0.0237,-4.3,3.34508462
GOEV,GOEV,Canoo,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
SOHU,SOHU,סוהו,מניה,NASDAQ NMS - GLOBAL MARKET,15.25,15.84,15.23,15.84,15.71,23/09/2025 23:00:00,15.705,-0.455,-2.9,3.34508462
DRIV,DRIV,Global X Autonomous & Electric Vehicles ETF,מניה,Unknown,28.05,28.48,27.91,28.25,28.35,23/09/2025 23:00:00,28.35,-0.3,-1.06,3.34508462
Pinterest,Pinterest,פינטרסט,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
AMGN,AMGN,אמג'ן,מניה,NASDAQ NMS - GLOBAL MARKET,286.81,287.26,283.96,283.96,286.00,23/09/2025 23:00:00,286,0.81,0.28,3.34508462
BioNTech,BioNTech,BioNTech,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
BSX,BSX,בוסטון סיינטיפיק,מניה,"NEW YORK STOCK EXCHANGE, INC.",97.69,98.30,96.02,96.17,97.03,23/09/2025 23:00:00,97.03,0.66,0.68,3.34508462
TRV,TRV,TRV,מניה,"NEW YORK STOCK EXCHANGE, INC.",276.26,279.08,274.24,275.56,276.11,23/09/2025 23:00:00,276.11,0.15,0.05,3.34508462
SGEN,SGEN,סיגן,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
Moderna,Moderna,Moderna,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
BE,BE,Bloom Energy,מניה,"NEW YORK STOCK EXCHANGE, INC.",77.38,86.00,75.60,82.00,86.27,23/09/2025 23:00:00,86.27,-8.89,-10.3,3.34508462
FCEL,FCEL,פואל סל,מניה,NASDAQ NMS - GLOBAL MARKET,9.08,10.17,8.86,9.79,9.60,23/09/2025 23:00:00,9.6,-0.52,-5.42,3.34508462
CHPT,CHPT,צ'רג'פוינט,מניה,"NEW YORK STOCK EXCHANGE, INC.",10.88,11.70,10.72,11.00,10.98,23/09/2025 23:00:00,10.98,-0.1,-0.91,3.34508462
XPEV,XPEV,XPeng,מניה,"NEW YORK STOCK EXCHANGE, INC.",21.19,21.79,21.19,21.55,21.36,23/09/2025 23:00:00,21.36,-0.17,-0.8,3.34508462
ZI,ZI,זומבו אינפו,מניה,NASDAQ NMS - GLOBAL MARKET,11.91,12.19,11.82,12.00,11.97,23/09/2025 03:00:00,11.97,-0.06,-0.5,3.34508462
CLNE,CLNE,קלין אנרג'י,מניה,NASDAQ NMS - GLOBAL MARKET,2.66,2.75,2.64,2.66,2.65,23/09/2025 23:00:00,2.65,0.01,0.38,3.34508462
PBW,PBW,Invesco WilderHill Clean Energy ETF,מניה,Unknown,28.46,29.60,28.43,29.36,29.19,23/09/2025 23:00:00,29.19,-0.73,-2.5,3.34508462
CATH,CATH,Global X S&P 500 Catholic Values ETF,מניה,Unknown,80.886,81.42,80.75,81.42,81.32,23/09/2025 23:00:00,81.32,-0.434,-0.53,3.34508462
KERX,KERX,קריוס,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
BLDP,BLDP,בלרד פאוור,מניה,TORONTO STOCK EXCHANGE,2.92,3.17,2.90,3.13,2.88,23/09/2025 23:00:00,2.88,0.04,1.39,3.34508462
SNOW,SNOW,סנואופלייק,מניה,"NEW YORK STOCK EXCHANGE, INC.",223.54,231.49,222.88,230.16,229.54,23/09/2025 23:00:00,229.54,-6,-2.61,3.34508462
AYX,AYX,אלרי,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
EDIT,EDIT,אדיטס מדיסין,מניה,NASDAQ NMS - GLOBAL MARKET,3.01,3.14,2.97,3.02,3.00,23/09/2025 23:00:00,3,0.01,0.33,3.34508462
SYK,SYK,SYK,מניה,"NEW YORK STOCK EXCHANGE, INC.",373.52,378.69,372.08,376.67,378.22,23/09/2025 23:00:00,378.22,-4.7,-1.24,3.34508462
MDT,MDT,מדטרוניק,מניה,"NEW YORK STOCK EXCHANGE, INC.",94.96,95.66,94.17,94.52,94.62,23/09/2025 23:00:00,94.62,0.34,0.36,3.34508462
NTLA,NTLA,אינטליה,מניה,NASDAQ NMS - GLOBAL MARKET,17.08,17.83,16.95,17.54,17.26,23/09/2025 23:00:00,17.26,-0.18,-1.04,3.34508462
SCHW,SCHW,SCHW,מניה,"NEW YORK STOCK EXCHANGE, INC.",93.91,94.93,93.36,94.01,94.43,23/09/2025 23:00:00,94.43,-0.52,-0.55,3.34508462
DAQO,DAQO,DAQO New Energy,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
AFRM,AFRM,אפירם,מניה,NASDAQ NMS - GLOBAL MARKET,82.73,89.84,82.54,89.77,90.12,23/09/2025 23:00:00,90.12,-7.39,-8.2,3.34508462
TJX,TJX,TJX,מניה,"NEW YORK STOCK EXCHANGE, INC.",139.72,139.86,138.90,139.45,139.41,23/09/2025 23:00:00,139.41,0.31,0.22,3.34508462
SMCI,SMCI,סופר מיקרו,מניה,NASDAQ NMS - GLOBAL MARKET,46.99,47.70,45.86,47.39,46.87,23/09/2025 23:00:00,46.87,0.12,0.26,3.34508462
ARWR,ARWR,ארובו,מניה,NASDAQ NMS - GLOBAL MARKET,32.5,33.00,31.59,32.06,32.05,23/09/2025 23:00:00,32.05,0.45,1.4,3.34508462
NIO,NIO,ניו,מניה,"NEW YORK STOCK EXCHANGE, INC.",6.93,7.17,6.77,6.90,6.91,23/09/2025 23:00:00,6.91,0.02,0.29,3.34508462
PDD,PDD,פינדודו,מניה,NASDAQ NMS - GLOBAL MARKET,128.52,130.62,127.00,128.20,128.57,23/09/2025 23:00:00,128.57,-0.05,-0.04,3.34508462
UPS,UPS,UPS,מניה,"NEW YORK STOCK EXCHANGE, INC.",84.41,85.73,84.12,84.47,84.23,23/09/2025 23:00:00,84.23,0.18,0.21,3.34508462
APP,APP,אפיאן,מניה,NASDAQ NMS - GLOBAL MARKET,651.18,670.19,637.51,641.00,643.50,23/09/2025 23:00:00,643.5,7.68,1.19,3.34508462
RIDE,RIDE,לורדסטאון מוטורס,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
LIT,LIT,Global X Lithium & Battery Tech ETF,מניה,Unknown,53.09,53.90,53.04,53.21,53.10,23/09/2025 23:00:00,53.1,-0.01,-0.02,3.34508462
QQQJ,QQQJ,Invesco NASDAQ Next Gen 100,מניה,Unknown,36.1,36.37,36.07,36.35,36.33,23/09/2025 23:00:00,36.33,-0.23,-0.63,3.34508462
NTES,NTES,נטאיז,מניה,NASDAQ NMS - GLOBAL MARKET,152.94,154.52,152.17,152.43,152.35,23/09/2025 23:00:00,152.35,0.59,0.39,3.34508462
GM,GM,ג'נרל מוטורס,מניה,"NEW YORK STOCK EXCHANGE, INC.",58.58,59.92,58.46,59.05,58.88,23/09/2025 23:00:00,58.88,-0.3,-0.51,3.34508462
CARZ,CARZ,First Trust NASDAQ Global Auto Index Fund,מניה,Unknown,72.8271,73.93,72.37,73.93,73.03,23/09/2025 23:00:00,73.0338,-0.2067,-0.28,3.34508462
RBLX,RBLX,רובלוקס,מניה,"NEW YORK STOCK EXCHANGE, INC.",132.22,137.84,132.20,137.42,136.84,23/09/2025 23:00:00,136.84,-4.62,-3.38,3.34508462
GEN,GEN,ג'נמוטור,מניה,NASDAQ NMS - GLOBAL MARKET,28.95,29.02,28.76,28.92,28.84,23/09/2025 23:00:00,28.84,0.11,0.38,3.34508462
KOD,KOD,קודיאק,מניה,NASDAQ NMS - GLOBAL MARKET,13.72,15.06,12.82,15.00,15.01,23/09/2025 23:00:00,15.01,-1.29,-8.59,3.34508462
INCY,INCY,אינסייט,מניה,NASDAQ NMS - GLOBAL MARKET,84.54,85.83,84.43,84.75,84.73,23/09/2025 23:00:00,84.73,-0.19,-0.22,3.34508462
SI,SI,SI,מניה,"NEW YORK STOCK EXCHANGE, INC.",13.38,14.49,13.36,13.99,14.08,23/09/2025 23:00:00,14.08,-0.7,-4.97,3.34508462
EVGO,EVGO,EVgo,מניה,NASDAQ NMS - GLOBAL MARKET,4.52,4.87,4.49,4.64,4.59,23/09/2025 23:00:00,4.59,-0.07,-1.53,3.34508462
WKHS,WKHS,וורקהורס,מניה,NASDAQ NMS - GLOBAL MARKET,1.13,1.21,1.12,1.15,1.16,23/09/2025 23:00:00,1.16,-0.03,-2.59,3.34508462
MULN,MULN,מולן אוטומוטיב,מניה,Unknown,7.25,8.50,6.53,8.00,8.51,23/09/2025 03:00:00,8.51,-1.26,-14.81,3.34508462
HYZN,HYZN,היזון מוטורס,מניה,NASDAQ NMS - GLOBAL MARKET,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
RIOT,RIOT,ריוט בלוקצ'יין,מניה,NASDAQ NMS - GLOBAL MARKET,17.07,18.30,17.00,18.11,17.50,23/09/2025 23:00:00,17.5,-0.43,-2.46,3.34508462
BOTZ,BOTZ,Global X Robotics & AI ETF,מניה,Unknown,35.66,36.07,35.61,35.97,35.96,23/09/2025 23:00:00,35.96,-0.3,-0.83,3.34508462
IQ,IQ,איי-קיויי,מניה,NASDAQ NMS - GLOBAL MARKET,2.65,2.70,2.63,2.66,2.68,23/09/2025 23:00:00,2.68,-0.03,-1.12,3.34508462
UPWK,UPWK,אפוורק,מניה,NASDAQ NMS - GLOBAL MARKET,19.66,20.10,19.48,19.68,19.33,23/09/2025 23:00:00,19.33,0.33,1.71,3.34508462
FSLR,FSLR,פרסט סולר,מניה,NASDAQ NMS - GLOBAL MARKET,215.73,223.49,215.39,220.00,219.20,23/09/2025 23:00:00,219.2,-3.47,-1.58,3.34508462
RIVN,RIVN,ריביאן,מניה,NASDAQ NMS - GLOBAL MARKET,15.53,15.70,14.99,15.25,15.24,23/09/2025 23:00:00,15.24,0.29,1.9,3.34508462
ZTS,ZTS,ZTS,מניה,"NEW YORK STOCK EXCHANGE, INC.",142.61,146.18,141.53,143.25,144.65,23/09/2025 23:00:00,144.65,-2.04,-1.41,3.34508462
IBUY,IBUY,Amplify Online Retail ETF,מניה,Unknown,76.77,78.00,76.76,77.86,77.84,23/09/2025 23:00:00,77.84,-1.07,-1.37,3.34508462
PATH,PATH,UiPath,מניה,"NEW YORK STOCK EXCHANGE, INC.",12.53,13.22,12.49,13.17,13.14,23/09/2025 23:00:00,13.14,-0.61,-4.64,3.34508462
DKNG,DKNG,דרפטקינגס,מניה,NASDAQ NMS - GLOBAL MARKET,43.27,44.22,43.16,43.99,43.84,23/09/2025 23:00:00,43.84,-0.57,-1.3,3.34508462
CRWD,CRWD,קראודסטרייק,מניה,NASDAQ NMS - GLOBAL MARKET,484.1,495.06,481.10,493.14,493.14,23/09/2025 23:00:00,493.14,-9.04,-1.83,3.34508462
ARKW,ARKW,ARK Next Generation Internet ETF,מניה,Unknown,171.04,174.02,169.88,173.64,172.68,23/09/2025 23:00:00,172.68,-1.64,-0.95,3.34508462
ACES,ACES,ALPS Clean Energy ETF,מניה,Unknown,31.6306,32.72,31.60,32.42,32.08,23/09/2025 23:00:00,32.0844,-0.4538,-1.41,3.34508462
ZS,ZS,זומסקאל,מניה,NASDAQ NMS - GLOBAL MARKET,289.29,293.57,287.33,290.97,291.57,23/09/2025 23:00:00,291.57,-2.28,-0.78,3.34508462
PINS,PINS,PINS,מניה,"NEW YORK STOCK EXCHANGE, INC.",35.27,35.72,34.89,35.51,35.31,23/09/2025 23:00:00,35.31,-0.04,-0.11,3.34508462
IDXX,IDXX,IDXX,מניה,NASDAQ NMS - GLOBAL MARKET,648.38,649.47,640.34,640.34,644.10,23/09/2025 23:00:00,644.1,4.28,0.66,3.34508462
ALGN,ALGN,אליין,מניה,NASDAQ NMS - GLOBAL MARKET,129,132.41,128.91,132.40,131.18,23/09/2025 23:00:00,131.18,-2.18,-1.66,3.34508462
QS,QS,QuantumScape,מניה,"NEW YORK STOCK EXCHANGE, INC.",13.53,14.17,13.05,13.43,13.44,23/09/2025 23:00:00,13.44,0.09,0.67,3.34508462
MU,MU,מיקרון,מניה,NASDAQ NMS - GLOBAL MARKET,166.41,168.99,165.23,165.68,164.62,23/09/2025 23:00:00,164.62,1.79,1.09,3.34508462
WBA,WBA,WBA,מניה,NASDAQ NMS - GLOBAL MARKET,11.98,12.11,11.90,11.92,11.92,27/08/2025 03:00:00,11.92,0.06,0.5,3.34508462
QQQ,QQQ,Invesco QQQ,מניה,Unknown,598.2,602.57,596.98,602.37,602.20,23/09/2025 23:00:00,602.2,-4,-0.66,3.34508462
GRID,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,מניה,Unknown,149.83,151.81,149.77,151.63,151.20,23/09/2025 23:00:00,151.2,-1.37,-0.91,3.34508462
BMRN,BMRN,ביומרין,מניה,NASDAQ NMS - GLOBAL MARKET,53.38,53.67,53.00,53.21,53.41,24/09/2025 18:55:24,53.41,-0.03,-0.06,3.34508462
ARKG,ARKG,ARK Genomic Revolution ETF,מניה,Unknown,27.165,27.97,27.14,27.64,27.51,24/09/2025 18:57:05,27.51,-0.345,-1.25,3.34508462
ABBV,ABBV,אביווי,מניה,"NEW YORK STOCK EXCHANGE, INC.",219.8219,222.24,218.54,222.06,222.61,24/09/2025 18:57:08,222.61,-2.7881,-1.25,3.34508462
GILD,GILD,גיליאד,מניה,NASDAQ NMS - GLOBAL MARKET,112.92,114.57,111.96,114.50,114.40,24/09/2025 18:57:05,114.4,-1.48,-1.29,3.34508462
AYRO,AYRO,AYRO,מניה,Unknown,5.53,5.71,5.38,5.38,5.64,23/09/2025 03:00:00,5.64,-0.11,-1.95,3.34508462
IDRV,IDRV,iShares Self-Driving EV and Tech ETF,מניה,Unknown,36.44,36.60,36.42,36.54,36.53,24/09/2025 18:47:48,36.53,-0.09,-0.25,3.34508462
HOOD,HOOD,רובinhood,מניה,NASDAQ NMS - GLOBAL MARKET,128.3,130.07,125.00,126.70,126.20,24/09/2025 18:57:56,126.2,2.1,1.66,3.34508462
BEAM,BEAM,בימ תראפיוטיקס,מניה,NASDAQ NMS - GLOBAL MARKET,24.005,25.09,23.80,23.80,23.73,24/09/2025 18:57:51,23.73,0.275,1.16,3.34508462
